,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm,MoransI
SMC4,13923,False,False,13923,0.4697606,66.39878366637706,19465.0,20.353153,0.2784138,0.0352673478332246
PDIA6,14172,False,False,14172,0.46389613,65.79785693599769,19222.0,20.340502,0.27824074,0.0163275888993027
RANBP1,15615,False,False,15615,0.53207356,62.31537793223284,22047.0,20.329332,0.27808797,0.0402304702302481
WWP2,4170,False,False,4170,0.15288638,89.93628728641761,6335.0,20.308937,0.27780896,0.2369412416949058
MT-ND5,10420,True,False,10420,0.31508833,74.85278501785886,13056.0,20.301048,0.27770108,0.0137668821153985
RPS20,14090,False,False,14090,0.45938316,65.99575248576117,19035.0,20.284666,0.27747697,0.0432493577969124
SFPQ,16690,False,False,16690,0.57249737,59.721015542040746,23722.0,20.278269,0.27738947,0.0221045297069847
FKBP4,13805,False,False,13805,0.4512984,66.68356018920744,18700.0,20.257906,0.2771109,0.0397691872702097
RPS9,18794,False,False,18794,0.66866976,54.64330533835312,27707.0,20.247374,0.27696684,0.0227145290521071
FUS,27389,False,False,27389,1.2692345,33.90047301863114,52592.0,20.19165,0.2762046,0.0225359560695937
CALM2,11477,False,False,11477,0.35179555,72.30186311420022,14577.0,20.18871,0.27616435,0.0161327500004624
NPM1,21051,False,False,21051,0.8097065,49.19635099913119,33551.0,20.176123,0.27599218,0.0388161940569211
CAPN6,5765,False,False,5765,0.16809055,86.08697750748142,6965.0,20.15495,0.27570254,0.0775036226936879
