,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI_Sc,MoransI_My,MoransI_Ept,MoransI_PEL,MoransI_LM,MoransI_Ml,MoransI_IO
1500009L16RIK,550,False,False,550,0.013683753,98.67265180036682,567.0,0.004698979595145765,-0.0053430272669535645,-0.010113497945383968,0.01290532134710558,-0.009224043170852573,-0.005495704576376552,-0.0024809843664641068
1500011B03RIK,589,False,False,589,0.0146973645,98.57853074621103,609.0,0.004688868963304519,0.012252185077436209,-0.005682862348171498,-0.0007860077388565945,-0.0001926204554973421,-0.0005179327179899757,-0.04133930476882458
1500011K16RIK,803,False,False,803,0.020103293,98.06207162853558,833.0,-0.001466224525766859,-0.0044803469089616755,-0.015431678484923229,-0.011441410750031597,-0.018481330193940423,-0.011849862837192623,-0.008831119738296051
1500012F01RIK,6162,False,False,6162,0.1697799,85.12887344338257,7035.0,-0.00026590171360355323,-0.0037879293901776257,0.015586905846835999,-0.006841374064907349,-0.01500083402313599,-0.018925862211351382,0.033141326752192966
1500012K07RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-2.0,-0.001290598037724947,-2.0,-2.0,-2.0,-2.0,-2.0
1500015A07RIK,370,False,False,370,0.009074235,99.10705666570132,376.0,-0.0006406639636496453,0.001039710246885275,-0.005496741447633004,-0.0065950024061221515,-2.0,-2.0,-0.018346072512754667
1500015O10RIK,37,False,False,37,0.00089294335,99.91070566657014,37.0,0.00484720036973906,-0.0005656118410465172,-2.0,-2.0,-2.0,-2.0,-2.0
1500017E21RIK,21,False,False,21,0.00050680566,99.94931943237765,21.0,-0.0011154240464200296,-0.002794274699686704,-2.0,-2.0,-2.0,-2.0,-0.0015271685554199175
1500026H17RIK,11,False,False,11,0.00026546963,99.97345303600733,11.0,-0.0003179870945873844,-0.0011920954885056721,-2.0,-2.0,-2.0,-2.0,-2.0
1520401A03RIK,83,False,False,83,0.0020996234,99.79969108987355,87.0,-0.0005346805911995131,0.015348977293744489,-2.0,-2.0,-2.0,-2.0,-2.0
