,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI
1810037I17RIK,1639,False,False,1639,0.04134086,96.04450236509315,1713.0,0.00853130473600537
1810041H14RIK,47,False,False,47,0.0011825466,99.88657206294043,49.0,0.001159967597367909
1810041L15RIK,115,False,False,115,0.0028236315,99.72246355825853,117.0,0.0023107438819713285
1810043G02RIK,510,False,False,510,0.012501206,98.76918621488561,518.0,0.0008987902398289337
1810043H04RIK,949,False,False,949,0.023554398,97.70972101554204,976.0,0.003626513956978381
1810044D09RIK,63,False,False,63,0.001520417,99.84795829713293,63.0,-4.1134289021578205e-05
1810046K07RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,0.0025346139492093966
1810053B23RIK,53,False,False,53,0.0013032146,99.87209190076263,54.0,0.010428259848720934
1810055G02RIK,872,False,False,872,0.021792645,97.89554976349069,903.0,0.00022890905283966105
1810058I24RIK,2019,False,False,2019,0.05097017,95.12742542716478,2112.0,0.003064559760573451
