gene,pearson_r,p,percent_cell,imp_sumup_norm
GPNMB,0.022428155774032,0.2440157386603144,0.0274891049279249,0.008081366
GM48350,0.0224145033156798,0.2443029840971298,0.007710358699296,0.006104543
IQCG,0.0223897908925768,0.2448235326394596,0.0419041233657391,0.018786468
SLC39A2,0.0223600926510116,0.2454501323019663,0.0901776734830707,0.26909506
ZFP944,0.0223565651865193,0.2455246324841422,0.1397921555481059,0.19012547
CATSPERG1,0.0223554739649648,0.245547682334061,0.0067046597385182,0.005496184
GM14966,0.0223507210445883,0.2456480958619274,0.0224606101240362,0.011466554
FAM151B,0.022307697821964,0.2465583440834955,0.1364398256788468,0.33738765
ATG4A,0.0222890183924764,0.2469542818376937,0.0767683540060342,0.038914524
ZFP287,0.022284874035535,0.2470421878280172,0.1015755950385517,0.30988175
TTLL9,0.0222397165388525,0.248001443631817,0.1347636607442172,0.66353774
BACE2,0.0222260598620958,0.2482920572585213,0.0533020449212202,0.038105216
EXOC3L,0.0222209636120533,0.2484005662739077,0.0097217566208514,0.007704696
GM7271,0.0222182668766162,0.2484579983964127,0.0060341937646664,0.006206843
TMA16,0.0222171506390637,0.2484817735195896,0.162587998659068,0.30187467
GXYLT1,0.0222045117085578,0.2487510853594565,0.1096211867247737,0.19549488
PRMT3,0.0221816833215135,0.2492380322242136,0.240026818638954,0.4474662
PDZD7,0.022180089207738,0.2492720607419354,0.034864230640295,0.011356096
HYKK,0.0221337659488707,0.2502623111899153,0.0295005028494803,0.0100555355
ABI3BP,0.022118328339084,0.2505929295181563,0.0328528327187395,0.12839392
NCF2,0.0220943826251966,0.2511063637542357,0.0388870264834059,0.05363518
GSTT2,0.0220897592991765,0.2512055796687131,0.0499497150519611,0.016172992
LSS,0.0220707402928317,0.2516140123542574,0.1622527656721421,0.3230357
PALD1,0.0220625740251444,0.2517895247300885,0.0982232651692926,0.2162564
GM39302,0.0220579416920195,0.2518891224305086,0.0067046597385182,0.0066092196
MAGOHB,0.0220545734546725,0.251961558617306,0.2081796848809922,0.36994925
UACA,0.0220491560744378,0.2520780934346184,0.0536372779081461,0.06248669
ZFP3,0.0220467270396123,0.2521303572917317,0.1267180690579953,0.2537269
SLC25A20,0.0220454515234846,0.2521578047104524,0.1253771371102916,0.29526603
AOX4,0.022019938703414,0.252707244154873,0.015420717398592,0.0063663544
SYNE3,0.0220007128286582,0.2531218395986992,0.1149849145155883,0.5940617
AZIN2,0.0219993853281433,0.2531504838856677,0.2229299363057325,0.25885385
GM15457,0.021964516566704,0.2539036765452556,0.0492792490781092,0.013782678
GM12166,0.0219613919247364,0.2539712472981134,0.0415688903788132,0.01751007
GM9938,0.0219514246044067,0.2541868753718866,0.0083808246731478,0.006485703
STX3,0.0219226885174878,0.254809250225728,0.1428092524304391,0.15271538
MAPKBP1,0.0219152787820706,0.2549699041490868,0.1977874622862889,0.22160707
TRUB1,0.0219043639892934,0.2552066810519178,0.2219242373449547,0.3657524
TAX1BP3,0.0218816722107475,0.255699427478958,0.1310760978880321,0.11358198
TRP53INP1,0.0218610492031816,0.2561478238566635,0.0717398592021455,0.02936789
CFAP206,0.0218477663974202,0.2564369145338548,0.0291652698625544,0.013590097
TATDN3,0.0218247300254211,0.2569388213065213,0.1448206503519946,0.17807432
SLC6A4,0.021803545710093,0.2574009774021893,0.0023466309084813,0.004696306
SLC15A3,0.0218007538655027,0.2574619271256051,0.0328528327187395,0.018809104
GM3693,0.0217960759354035,0.2575640750639962,0.0522963459604425,0.02058583
CNMD,0.021788676569538,0.2577257060252077,0.03855179349648,0.090461306
AGBL3,0.0217692894971275,0.2581495286005505,0.1887361716392893,0.4298559
GM26801,0.0217509594208307,0.2585506880633962,0.003687562856185,0.0047403
COL12A1,0.0217373830478853,0.2588480894751404,0.0767683540060342,0.09998233
CD276,0.0217337094878952,0.2589286024820826,0.0992289641300704,0.0825361
GM27004,0.02170317736471,0.2595984426954891,0.0465973851827019,0.015221784
AK157302,0.0216977948160953,0.2597166539501454,0.0509554140127388,0.035623446
DPY19L2,0.0216711551539788,0.260302261195971,0.0030170968823332,0.004571256
DYTN,0.0215992229769483,0.2618880724557898,0.0020113979215554,0.004134349
TRABD2B,0.0215881926791328,0.2621318343082122,0.0177673483070734,0.009916635
RCC1L,0.0215693852982266,0.2625478254352828,0.1823667448876969,0.24306007
SUSD2,0.021555296860237,0.2628597389501012,0.1025812939993295,0.19815633
CEP128,0.0215494581651311,0.2629890807041954,0.0338585316795172,0.00962151
EGF,0.0215474532287204,0.2630335052048047,0.0137445524639624,0.0067801005
FASTKD2,0.0215124808459022,0.2638092407270251,0.1840429098223265,0.8024986
SEC16B,0.0214712907438889,0.2647249147538131,0.0137445524639624,0.008856453
RTN4RL2,0.0214506450136976,0.2651847011060828,0.0030170968823332,0.003933148
PLATR22,0.0214486061526274,0.2652301369417162,0.0050284948038887,0.0055142795
CELSR3,0.0214284667785143,0.2656792290394815,0.20918538384177,0.3377604
CDNF,0.021423462717761,0.2657908967556996,0.0063694267515923,0.0059271213
FEZF1,0.0214224976268775,0.2658124368786277,0.0335232986925913,0.6788729
BCAT2,0.021404288533468,0.2662190756855953,0.1404626215219577,0.18006155
RARA,0.0213754911227848,0.2668630420223293,0.1099564197116996,0.17749472
WDCP,0.0213571714488121,0.2672732625766966,0.0938652363392557,0.118172854
HCFC2,0.0213463756158349,0.267515209477811,0.2313107609788803,0.27735746
GM15492,0.0213241396533184,0.2680140167406729,0.0103922225947033,0.005859885
E130006D01RIK,0.021309354880016,0.2683460288399976,0.0214549111632584,0.009379254
3930402G23RIK,0.0213026397360272,0.2684969196986258,0.0067046597385182,0.0068726335
LTV1,0.0212848125165845,0.2688977840025123,0.1873952396915856,0.22365218
KLRA2,0.021284011720794,0.2689158003946114,0.0010056989607777,0.003974931
UNC45A,0.0212740816248656,0.2691392776055661,0.286624203821656,0.5298195
2010110G14RIK,0.0212507004507544,0.2696659749345361,0.0264834059671471,0.0118216425
LRMP,0.0212416986241009,0.2698689433962705,0.0144150184378142,0.008166754
A130051J06RIK,0.0212055821086128,0.2706843325195761,0.003687562856185,0.004125556
DPY19L3,0.0212049314015521,0.270699038751634,0.2463962453905464,0.39292708
PLEKHM1,0.0211908543306275,0.2710173200197737,0.1592356687898089,0.3104791
GM36356,0.0211828613258775,0.2711981551440727,0.0023466309084813,0.0049686194
MAFK,0.0211811937431987,0.2712358932376583,0.1230305062018102,0.13876301
GLDC,0.0211784516045723,0.2712979567990074,0.1954408313778075,0.77782196
SLC5A4B,0.0211719398038617,0.2714453790942871,0.011397921555481,0.0062551866
HMCN1,0.0211674312126092,0.2715474823500792,0.0254777070063694,0.02968662
P4HA2,0.0211620265602537,0.271669912784118,0.1344284277572913,0.0945917
HLX,0.0211550317044483,0.2718284218378428,0.00737512571237,0.0057413955
FBXO27,0.0211538655254472,0.2718548545452843,0.1193429433456252,0.18341522
TPBGL,0.0211454222441178,0.2720462831085102,0.0459269192088501,0.030254368
LYPLAL1,0.0211427185987218,0.2721076004433167,0.0931947703654039,0.12980533
GM26737,0.0211350461415692,0.2722816594467128,0.0351994636272209,0.024592955
SH2B2,0.0211333947534944,0.2723191331477336,0.0848139456922561,0.23512566
GM32585,0.0211225677183119,0.2725649102560566,0.0201139792155548,0.032757483
SUGCT,0.0211188275877953,0.2726498476375303,0.0670465973851827,0.09022082
KANK3,0.0211074410396618,0.2729085445733694,0.154877639959772,0.14873107
