gene,pearson_r,p,percent_cell,imp_sumup_norm
MTMR12,0.022441141290401458,0.020052620352145712,0.015106509377917339,0.008494052
SAMD12,0.022435116425553688,0.02008600722180797,0.019406489575376957,0.023295322
LRMP,0.022432145901743028,0.020102486265763376,0.002234858128942827,0.0030812842
PCDH9,0.022423340451150534,0.020151404024536954,0.20357011513762766,0.30401117
CACNA1B,0.02242236711513001,0.02015681766045314,0.043989928993748054,0.09729621
POU3F3,0.022415459812786316,0.020195272124760844,0.06919573396701463,0.29339465
TMEM110,0.02241224419041101,0.020213196021912207,0.013409148773656964,0.014173284
2900079G21RIK,0.02239862045965707,0.02028928881827645,0.005827604741293954,0.005266192
AKAP13,0.02239618253362932,0.02030293172337191,0.02639395739624883,0.039466772
TAF5,0.022394440566185753,0.020312684867808975,0.010269031655775269,0.006163041
EPHB1,0.022394217432923698,0.020313934469371856,0.03199524739030807,0.115982786
RPL7A,0.022372610471659046,0.020435256872479362,0.007977594840023763,0.0065811477
GRM2,0.022366016267689904,0.02047240875206553,0.012560468471526776,0.0109599
PAK1IP1,0.02233542264848352,0.02064554538705368,0.05705960564655294,0.08560093
NDC1,0.022334292545673415,0.020651965283949757,0.010834818523862061,0.0072467686
SMARCA2,0.022330035057484463,0.020676166887149725,0.20127867832187615,0.37874275
SLC5A5,0.022325290392380223,0.020703166963055648,0.021471611643893745,0.035990294
POLR2G,0.022314605384693986,0.020764083825221828,0.11793827265269173,0.20200542
WDR75,0.022309543109813798,0.02079299912962537,0.02789329259667883,0.03288061
2010107E04RIK,0.022283176598624367,0.0209441706068462,0.15440323630088545,0.26883754
TMEM178B,0.0222755033529062,0.020988344414069913,0.05244844267164559,0.06384518
TMEM246,0.022264269869191104,0.021053160418655365,0.06843192169509746,0.10764009
CNTNAP5C,0.02224587264494028,0.02115968711368697,0.009986138221731873,0.0058897333
OAZ1,0.022245518859311184,0.021161740255365685,0.1550821805425896,0.26325783
RBM25,0.022241772737125208,0.02118349096070206,0.16871764406348128,0.2511093
RIC8B,0.02222355885656504,0.02128952196830029,0.028459079464765624,0.032150824
AMPD2,0.022216893328197825,0.021328440296989635,0.04246230444991372,0.042976424
EIF2D,0.02220995121767418,0.02136903936567816,0.02045319528133752,0.018090472
WRAP73,0.02220108681779085,0.0214209782358064,0.029873546634982602,0.01717511
YY1,0.022195026895433984,0.021456548149713376,0.03533338991202014,0.09146077
IMPACT,0.022191957694059832,0.021474583044042594,0.13279017793997,0.21005046
APOA1BP,0.022189592949829834,0.021488487486553073,0.07694701405980367,0.18722299
EFTUD1,0.022171410792569915,0.021595658669380645,0.015785453619621487,0.014578979
TMTC2,0.022171024686382608,0.021597939532685632,0.01626637245749526,0.029671887
NDUFA13,0.02216072814118862,0.0216588422012201,0.2588474921497072,0.3685509
IQSEC2,0.02215838209103165,0.021672739658727163,0.05640895074825313,0.12304241
CLMP,0.022157448104267008,0.021678274539360304,0.030891962997538828,0.07957528
KIF13A,0.022156352157191157,0.021684770778400718,0.032589323601799204,0.062079214
ZFP335OS,0.022155657726976332,0.021688887898359967,0.008515092364706215,0.0056668594
IDH3G,0.02214136860279413,0.02177375603319423,0.18719058530651503,0.205638
ANKRD17,0.022140063199719028,0.021781523667258412,0.07414636906277405,0.0880999
LONRF2,0.022136642245059464,0.02180189106050061,0.06908257659339727,0.08473486
RGS5,0.02213137772217847,0.021833266908887785,0.022150555885597896,0.08983346
PDLIM4,0.02212161209613775,0.021891572768916408,0.018727545333672806,0.041171357
BCKDK,0.02212158063467653,0.02189176082890912,0.03807745622224108,0.11099058
FAM216A,0.0221202266089672,0.021899855809867048,0.06571614472828086,0.07348767
TCEAL5,0.02211263427016389,0.021945294516874367,0.16390845568474355,0.19917426
