,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm,imp_sumup_Sc,imp_sumup_norm_Sc,imp_sumup_My,imp_sumup_norm_My,imp_sumup_Ept,imp_sumup_norm_Ept
1700017I07RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,0.0022039358,0.0024297654,0.0018424693,0.00011800333,0.0016709842,0.00015350508,0.008910235,0.00013486076
1700018L02RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,0.00226082,0.0024924784,0.002258498,0.00014464842,0.0022292756,0.00020479257,0.008653465,0.00013097441
1700019A02RIK,26,False,False,26,0.0006274737,99.9372526305628,26.0,0.0032225146,0.0035527146,0.0021165065,0.00013555441,0.0023846596,0.00021906693,5.910415,0.08945703
1700019D03RIK,80,False,False,80,0.0019789555,99.80693117096244,82.0,0.003539492,0.0039021715,0.0056247846,0.0003602466,0.005541034,0.00050902745,0.34060326,0.005155197
1700019G17RIK,25,False,False,25,0.0006274737,99.93966599092576,26.0,0.0034468905,0.0038000816,0.0024701164,0.0001582018,0.03498008,0.0032134475,0.008578235,0.00012983578
1700019N19RIK,29,False,False,29,0.0006998745,99.93001254947389,29.0,0.002541199,0.002801587,0.002441939,0.00015639713,0.0022321972,0.00020506096,0.008675254,0.00013130422
1700020D05RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.0024054484,0.0026519264,0.0018752809,0.000120104785,0.0015659574,0.0001438568,0.008924477,0.00013507632
1700020G17RIK,31,False,False,31,0.0007481417,99.92518582874796,31.0,0.003223539,0.0035538443,0.0022773826,0.0001458579,0.002231408,0.00020498844,0.008722702,0.00013202237
1700020I14RIK,4705,False,False,4705,0.12542234,88.64513949222898,5197.0,0.14734128,0.16243882,5.55228,0.35560295,0.9399763,0.086350985,20.26853,0.3067741
1700020L24RIK,17,False,False,17,0.00041027126,99.95897287382952,17.0,0.0025028929,0.0027593556,0.0019799927,0.00012681118,0.0026188898,0.00024058449,0.008731133,0.00013214996
1700021F05RIK,1932,False,False,1932,0.04916015,95.33738777874312,2037.0,0.046965674,0.05177808,1.0703521,0.06855208,0.5660885,0.05200376,20.714413,0.31352276
1700021K19RIK,826,False,False,826,0.020513562,98.00656434018727,850.0,0.026210163,0.028895827,0.36394474,0.023309313,0.12446238,0.011433747,4.3693476,0.06613221
1700022A22RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,0.0022319674,0.0024606695,0.0025533387,0.00016353186,0.001581699,0.0001453029,0.008800236,0.00013319586
1700022I11RIK,10,False,False,10,0.00026546963,99.97586639637031,11.0,0.002550148,0.0028114528,0.0053556203,0.00034300762,0.0016009568,0.000147072,0.008721107,0.00013199823
1700022N22RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.0022605103,0.002492137,0.0019540172,0.00012514756,0.0015948648,0.00014651236,0.008833785,0.00013370364
1700023E05RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,0.002543331,0.002803937,0.0018791605,0.00012035327,0.0016195163,0.00014877698,0.008557773,0.00012952609
1700023F02RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,0.0023640294,0.0026062634,0.0019359112,0.00012398795,0.0015624528,0.00014353484,0.008796445,0.00013313848
1700023F06RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,0.002406308,0.002652874,0.0019409528,0.00012431083,0.0016299492,0.0001497354,0.2200697,0.0033308626
1700023H06RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,0.0022515757,0.002482287,0.003065262,0.00019631867,0.0015708145,0.00014430299,0.008934494,0.00013522795
1700024B05RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,0.0022557063,0.0024868408,0.0050182724,0.00032140175,0.0015860845,0.00014570575,0.008631193,0.00013063733
1700024B18RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,0.0023262952,0.0025646626,0.001942555,0.00012441345,0.001665706,0.0001530202,0.008605792,0.00013025287
1700024P16RIK,91,False,False,91,0.0023409596,99.78038420696979,97.0,0.0037667523,0.004152719,0.036088143,0.0023113117,0.0040479787,0.00037186785,0.008702928,0.00013172308
1700025F22RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,0.0022056282,0.0024316313,0.0023507632,0.00015055767,0.0027052213,0.00024851537,0.008718858,0.00013196417
1700025G04RIK,1779,False,False,1779,0.044960905,95.70663191427744,1863.0,0.085363716,0.09411064,1.0399654,0.066605926,0.3171516,0.029135155,7.95066,0.120337136
1700025H01RIK,23,False,False,23,0.0005550729,99.9444927116517,23.0,0.0025143404,0.0027719764,0.035600185,0.0022800597,0.0016372472,0.00015040583,0.008616267,0.00013041141
1700025K24RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,0.002285327,0.0025194965,0.0019672245,0.00012599344,0.0016042377,0.00014737342,0.008493934,0.00012855983
1700026D08RIK,22,False,False,22,0.00053093926,99.94690607201467,22.0,0.0029234523,0.0032230085,0.002541729,0.00016278833,0.0023144889,0.0002126207,0.008652014,0.00013095245
