,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm
1700120C14RIK,51,False,False,51,0.0026257795,99.76086650724434,56.0,0.0032663187,0.0030967188
1700120G11RIK,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.002316795,0.002196498
1700121C08RIK,11,False,False,11,0.00051577814,99.94842218783701,11.0,0.002334348,0.0022131393
1700123M08RIK,56,False,False,56,0.00304778,99.73742204717026,65.0,0.004191496,0.003973857
1700123O12RIK,27,False,False,27,0.0012660008,99.87339991559995,27.0,0.0031587505,0.0029947357
1700123O20RIK,566,False,False,566,0.02907113,97.34608711961363,620.0,0.025606738,0.024277136
1700123O21RIK,66,False,False,66,0.0037042247,99.69053312702208,79.0,0.003514957,0.0033324466
1700124L16RIK,33,False,False,33,0.0015473344,99.84526656351103,33.0,0.002982426,0.0028275668
1700125G02RIK,7,False,False,7,0.00037511135,99.96717775589629,8.0,0.0023275756,0.0022067188
1700125G22RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0022144197,0.0020994383
1700125H20RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023567236,0.0022343535
1700126H18RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023232324,0.0022026012
1700128F08RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0024625831,0.002334716
1700129L04RIK,13,False,False,13,0.000609556,99.93904440380737,13.0,0.002598136,0.0024632304
1810007D17RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023787846,0.0022552689
1810009A15RIK,26,False,False,26,0.001219112,99.87808880761476,26.0,0.0035443043,0.00336027
1810010H24RIK,63,False,False,63,0.00304778,99.70459980306654,65.0,0.0038715627,0.0036705357
1810010K12RIK,9,False,False,9,0.0004688892,99.95779997186665,10.0,0.0030350164,0.0028774263
1810011H11RIK,7,False,False,7,0.00032822244,99.96717775589629,7.0,0.0023353808,0.0022141184
1810011O10RIK,9,False,False,9,0.00042200027,99.95779997186665,9.0,0.0026234325,0.0024872138
1810013L24RIK,1368,False,False,1368,0.072630934,93.58559572373049,1549.0,0.14359142,0.13613558
1810014B01RIK,146,False,False,146,0.0073146718,99.31542176583673,156.0,0.005433118,0.0051510087
1810019N24RIK,14,False,False,14,0.00065644487,99.93435551179256,14.0,0.0026049868,0.0024697257
1810020O05RIK,9,False,False,9,0.0004688892,99.95779997186665,10.0,0.0023984343,0.0022738983
1810021B22RIK,30,False,False,30,0.0014066676,99.8593332395555,30.0,0.002832347,0.0026852803
1810022K09RIK,776,False,False,776,0.03915225,96.36141979650209,835.0,0.044176858,0.04188302
1810024B03RIK,61,False,False,61,0.002907113,99.71397758709617,62.0,0.0032180164,0.0030509243
1810026B05RIK,338,False,False,338,0.016739344,98.41515449899188,357.0,0.033267044,0.031539686
1810026J23RIK,844,False,False,844,0.044450697,96.04257513949453,948.0,0.11822057,0.112082094
1810030O07RIK,315,False,False,315,0.015801566,98.52299901533269,337.0,0.036200486,0.034320816
1810032O08RIK,52,False,False,52,0.002438224,99.75617761522952,52.0,0.0038089845,0.003611207
1810034E14RIK,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.0023689105,0.0022459074
1810037I17RIK,1685,False,False,1685,0.08880761,92.09921695503353,1894.0,0.3142182,0.29790276
1810041H14RIK,21,False,False,21,0.0009846673,99.90153326768885,21.0,0.0025428531,0.0024108184
1810041L15RIK,469,False,False,469,0.02428846,97.80090964505087,518.0,0.020286955,0.019233577
1810043G02RIK,320,False,False,320,0.01561401,98.4995545552586,333.0,0.007469241,0.007081409
1810043H04RIK,737,False,False,737,0.03737047,96.54428658507994,797.0,0.08889509,0.0842793
1810044D09RIK,23,False,False,23,0.0011253341,99.89215548365921,24.0,0.0026659253,0.0025275
1810046K07RIK,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.0026524626,0.0025147363
1810055G02RIK,236,False,False,236,0.011628452,98.89342148450321,248.0,0.011101088,0.010524675
1810058I24RIK,327,False,False,327,0.016129788,98.46673231115487,344.0,0.01942415,0.018415572
1810059C17RIK,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.0024233207,0.0022974925
1810062G17RIK,7,False,False,7,0.00032822244,99.96717775589629,7.0,0.0024368758,0.0023103438
1810062O18RIK,57,False,False,57,0.0031415576,99.73273315515544,67.0,0.0036750257,0.003484204
2010001A14RIK,109,False,False,109,0.005298448,99.48891077038495,113.0,0.03309571,0.031377252
2010002M12RIK,26,False,False,26,0.001219112,99.87808880761476,26.0,0.0036434843,0.0034543
2010005H15RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0022383241,0.0021221016
2010007H06RIK,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.0024863034,0.0023572047
2010009K17RIK,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.002650437,0.0025128159
2010012O05RIK,838,False,False,838,0.044075586,96.07070849158343,940.0,0.09668018,0.091660164
2010013B24RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023491213,0.002227146
